ConceptID;Estado;Término Preferido;Términos Sinónimos;Término Abreviado;Observación;Sensibilidad;Creación Nombre;Revisado;Consultar;Etiquetas;ConceptID Fármacos - Sustancia ¦ Preferido Fármacos - Sustancia ¦ Orden ¦ Estado;Comercializado;ConceptID SNM ¦ Preferido SNM ¦ Tipo de Relación ¦ Grupo;CIE-10 ¦ Tipo de Relación
658791000167108;Vigente;nifedipino;;;;Insensible;Autogenerado;No;No;; • 653241000167103 ¦ nifedipino ¦ 1 ¦ Vigente ;Si; • 85272000 ¦ nifedipino ¦ es un[a] ¦ 0;
658801000167107;Vigente;brinzolamida;;;;Insensible;Autogenerado;No;No;; • 653121000167101 ¦ brinzolamida ¦ 1 ¦ Vigente ;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
658811000167109;Vigente;zuclopentixol acetato;;;;Insensible;Autogenerado;No;No;; • 647321000167107 ¦ zuclopentixol acetato ¦ 1 ¦ Vigente ;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
658821000167104;Vigente;aliskireno;;;;Insensible;Autogenerado;Si;No;; • 651941000167109 ¦ aliskireno ¦ 1 ¦ Vigente ;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
658831000167102;Vigente;ambrisentán;;;;Insensible;Autogenerado;No;No;; • 647511000167109 ¦ ambrisentán ¦ 1 ¦ Vigente ;Si; • 427735003 ¦ ambrisentán ¦ es un[a] ¦ 0;
658841000167105;Vigente;milrinona;;;;Insensible;Autogenerado;No;No;; • 655641000167102 ¦ milrinona ¦ 1 ¦ Vigente ;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
658851000167108;Vigente;vortioxetina;;;;Insensible;Autogenerado;No;No;; • 647381000167108 ¦ vortioxetina ¦ 1 ¦ Vigente ;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
658861000167106;Vigente;zuclopentixol decanoato;;;;Insensible;Autogenerado;No;No;; • 647391000167105 ¦ zuclopentixol decanoato ¦ 1 ¦ Vigente ;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
658871000167100;Vigente;linagliptina;;;;Insensible;Autogenerado;Si;No;; • 657121000167107 ¦ linagliptina ¦ 1 ¦ Vigente ;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
658881000167103;Vigente;ibuprofeno;;;;Insensible;Autogenerado;Si;No;; • 651421000167109 ¦ ibuprofeno ¦ 1 ¦ Vigente ;Si; • 38268001 ¦ ibuprofeno ¦ es un[a] ¦ 0;
658891000167101;Vigente;nifurtimox;;;;Insensible;Autogenerado;No;No;; • 648971000167109 ¦ nifurtimox ¦ 1 ¦ Vigente ;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
658901000167100;Vigente;acetónido de fluocinolona + hidroquinona + tretinoína;;;;Insensible;Autogenerado;Si;No;;" • 647991000167109 ¦ hidroquinona ¦ 2 ¦ Vigente 
 • 655161000167109 ¦ acetónido de fluocinolona ¦ 1 ¦ Vigente 
 • 648531000167101 ¦ tretinoína ¦ 3 ¦ Vigente ";Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
658911000167103;Vigente;amlodipino + atorvastatina;;;;Insensible;Autogenerado;Si;No;;" • 648241000167106 ¦ amlodipino ¦ 1 ¦ Vigente 
 • 648371000167105 ¦ atorvastatina ¦ 2 ¦ Vigente ";Si; • 409411009 ¦ amlodipino + atorvastatina ¦ es un[a] ¦ 0;
658921000167108;Vigente;milnaciprán;;;;Insensible;Autogenerado;No;No;; • 655491000167109 ¦ milnaciprán ¦ 1 ¦ Vigente ;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
658931000167105;Vigente;dimeticona + hidróxido de aluminio + hidróxido de magnesio;;;;Insensible;Autogenerado;Si;No;;" • 648201000167108 ¦ hidróxido de aluminio ¦ 2 ¦ Vigente 
 • 653311000167108 ¦ dimeticona ¦ 1 ¦ Vigente 
 • 648021000167109 ¦ hidróxido de magnesio ¦ 3 ¦ Vigente ";Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
658941000167102;Vigente;cilazapril;;;;Insensible;Autogenerado;Si;No;; • 648321000167106 ¦ cilazapril ¦ 1 ¦ Vigente ;Si; • 318913001 ¦ cilazapril ¦ es un[a] ¦ 0;
658951000167104;Vigente;lanolina + vaselina;;;;Insensible;Autogenerado;Si;No;;" • 647331000167109 ¦ lanolina ¦ 1 ¦ Vigente 
 • 653361000167105 ¦ vaselina ¦ 2 ¦ Vigente ";Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
658961000167101;Vigente;miglustat;;;;Insensible;Autogenerado;No;No;; • 654621000167109 ¦ miglustat ¦ 1 ¦ Vigente ;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
658971000167107;Vigente;clorhexidina + etanol;;;;Insensible;Autogenerado;Si;No;;" • 657721000167106 ¦ clorhexidina ¦ 1 ¦ Vigente 
 • 650101000167100 ¦ etanol ¦ 2 ¦ Vigente ";Si; • 409103005 ¦ clorhexidina+alcohol etílico ¦ es un[a] ¦ 0;
658981000167109;Vigente;bortezomib;;;;Insensible;Autogenerado;No;No;; • 653171000167102 ¦ bortezomib ¦ 1 ¦ Vigente ;Si; • 398907002 ¦ bortezomib ¦ es un[a] ¦ 0;
658991000167106;Vigente;tolterodina;;;;Insensible;Autogenerado;No;No;; • 648061000167102 ¦ tolterodina ¦ 1 ¦ Vigente ;Si; • 109113000 ¦ tolterodina ¦ es un[a] ¦ 0;
659001000167106;Vigente;carbocisteína;;;;Insensible;Autogenerado;Si;No;; • 655201000167102 ¦ carbocisteína ¦ 1 ¦ Vigente ;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
659011000167108;Vigente;sofosbuvir;;;;Insensible;Autogenerado;No;No;; • 647301000167104 ¦ sofosbuvir ¦ 1 ¦ Vigente ;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
659021000167103;Vigente;carbomer;;;;Insensible;Autogenerado;Si;No;; • 655511000167102 ¦ carbomer ¦ 1 ¦ Vigente ;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
659031000167101;Vigente;alginato de sodio + bicarbonato de sodio + carbonato de calcio;;;;Insensible;Autogenerado;Si;No;;" • 653651000167103 ¦ bicarbonato de sodio ¦ 2 ¦ Vigente 
 • 652601000167106 ¦ alginato de sodio ¦ 1 ¦ Vigente 
 • 655451000167102 ¦ carbonato de calcio ¦ 3 ¦ Vigente ";Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
659041000167109;Vigente;aceite de hígado de bacalao + clorocarvacol + oxipolitoxidodecano;;;;Insensible;Autogenerado;Si;No;;" • 657551000167106 ¦ clorocarvacol ¦ 2 ¦ Vigente 
 • 651001000167107 ¦ aceite de hígado de bacalao ¦ 1 ¦ Vigente 
 • 647371000167106 ¦ oxipolietoxidodecano ¦ 3 ¦ Vigente ";Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
659051000167107;Vigente;gadopentetato de dimeglumina;;;;Insensible;Autogenerado;No;No;; • 647781000167109 ¦ gadopentetato de dimeglumina ¦ 1 ¦ Vigente ;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
659061000167105;Vigente;bromazepam;;;;Insensible;Autogenerado;No;No;; • 653971000167100 ¦ bromazepam ¦ 1 ¦ Vigente ;Si; • 96234002 ¦ bromacepam ¦ es un[a] ¦ 0;
659071000167104;Vigente;mirtazapina;;;;Insensible;Autogenerado;No;No;; • 655661000167101 ¦ mirtazapina ¦ 1 ¦ Vigente ;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
