ConceptID;Estado;Término Preferido;Términos Sinónimos;Término Abreviado;Observación;Sensibilidad;Creación Nombre;Revisado;Consultar;Etiquetas;Riesgo Teratogénico;FFA ¦ Tipo FFA ¦ Orden;Condición de Venta;Unidad de U_Asist;Recomendaciones ¦ Receta ¦ Gestión ¦ Indicación ¦ Tipo Recomendación;Vía Administración ¦ Orden;Estado Prescripción;Cantidad de Volumen Total ¦ Unidad de Volumen;URL;Medicamento clínico especial;ConceptID Fármacos - Medicamento Básico ¦ Preferido Fármacos - Medicamento Básico ¦ Estado;ConceptID Fármacos - Sustancia ¦ Preferido Fármacos - Sustancia ¦ Orden ¦ Cantidad Potencia ¦ Unidad Potencia ¦ Cantidad PP ¦ Unidad PP ¦ Estado;ATC;Comercializado;ConceptID SNM ¦ Preferido SNM ¦ Tipo de Relación ¦ Grupo;CIE-10 ¦ Tipo de Relación
671751000167108;Vigente;clorfenamina 2 mg/5 mL + pseudoefedrina sulfato 30 mg/5 mL solución oral;;;;Sensible;Manual;No;No;;; • 9749 ¦ solución oral ¦ Discreta ¦ 1;89 ¦ Receta Médica; • 9384 ¦ mililitro;; • 9437 ¦ oral ¦ 1;95 ¦ válido como MC prescribible;;;No;667651000167103 ¦ clorfenamina + pseudoefedrina sulfato ¦ Vigente ;" • 649711000167107 ¦ pseudoefedrina sulfato ¦ 2 ¦ 30.0 ¦ miligramo ¦ 5.0 ¦ mililitro ¦ Vigente 
 • 657761000167104 ¦ clorfenamina ¦ 1 ¦ 2.0 ¦ miligramo ¦ 5.0 ¦ mililitro ¦ Vigente ";;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
671761000167106;Vigente;cloruro de potasio 2,98% (1,49 g/50 mL) inyectable;;;;Insensible;Manual;No;No;;; • 9764 ¦ inyectable ¦ 1 ¦ Continua;89 ¦ Receta Médica; • 9381 ¦ miliequivalente;; • 9432 ¦ intravenosa ¦ 1;95 ¦ válido como MC prescribible;50.0 ¦ mililitros;;No;668321000167104 ¦ cloruro de potasio ¦ Vigente ; • 657811000167105 ¦ cloruro de potasio ¦ 1 ¦ 20.0 ¦ miliequivalente ¦ 1.0 ¦ mililitro ¦ Vigente ;10847 ¦ cloruro de potasio ¦ B05XA01;Si; • 376059006 ¦ cloruro de potasio, 20 meq/envase, solución ¦ es un[a] ¦ 0;
671771000167100;Vigente;piroxicam 20 mg comprimido;;;;Insensible;Manual;No;No;;; • 9786 ¦ comprimido ¦ Discreta ¦ 1;89 ¦ Receta Médica; • 9382 ¦ miligramo;; • 9437 ¦ oral ¦ 1;95 ¦ válido como MC prescribible;;;No;667611000167102 ¦ piroxicam ¦ Vigente ; • 650711000167102 ¦ piroxicam ¦ 1 ¦ 20.0 ¦ miligramo ¦ Vigente ;13066 ¦ piroxicam ¦ M01AC01;Si; • 329904006 ¦ piroxicam, 20 mg, comprimido ¦ es un[a] ¦ 0;
671781000167103;Vigente;clormadinona 2 mg + etinilestradiol 30 mcg comprimido;;;;Sensible;Manual;No;No;;; • 9786 ¦ comprimido ¦ Discreta ¦ 1;89 ¦ Receta Médica; • 9355 ¦ comprimido;; • 9437 ¦ oral ¦ 1;95 ¦ válido como MC prescribible;;;No;661581000167102 ¦ clormadinona + etinilestradiol ¦ Vigente ;" • 657281000167103 ¦ etinilestradiol ¦ 2 ¦ 30.0 ¦ microgramo ¦ Vigente 
 • 649541000167100 ¦ clormadinona ¦ 1 ¦ 2.0 ¦ miligramo ¦ Vigente ";12029 ¦ clormadinona y etinilestradiol ¦ G03AA15;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
671791000167101;Vigente;fluticasona furoato 92 mcg/dosis + vilanterol 22 mcg/dosis polvo para inhalación;;;;Insensible;Manual;No;No;;; • 9750 ¦ polvo para inhalación ¦ Continua ¦ 1;91 ¦ Receta Médica Retenida; • 9358 ¦ dosis;; • 9420 ¦ inhalatoria oral ¦ 1;95 ¦ válido como MC prescribible;;;No;671151000167107 ¦ fluticasona furoato + vilanterol ¦ Vigente ;" • 648401000167107 ¦ fluticasona furoato ¦ 1 ¦ 92.0 ¦ microgramo ¦ 1.0 ¦ dosis ¦ Vigente 
 • 651981000167102 ¦ vilanterol ¦ 2 ¦ 22.0 ¦ microgramo ¦ 1.0 ¦ dosis ¦ Vigente ";;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
671801000167102;Vigente;vortioxetina 20 mg comprimido;;;;Insensible;Autogenerado;No;No;;; • 9786 ¦ comprimido ¦ Discreta ¦ 1;89 ¦ Receta Médica; • 9382 ¦ miligramo;; • 9437 ¦ oral ¦ 1;95 ¦ válido como MC prescribible;;;No;658851000167108 ¦ vortioxetina ¦ Vigente ; • 647381000167108 ¦ vortioxetina ¦ 1 ¦ 20.0 ¦ miligramo ¦ Vigente ;;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
671811000167100;Vigente;ticlopidina 250 mg cápsula;;;;Sensible;Manual;No;No;;; • 9794 ¦ cápsula ¦ Discreta ¦ 1;89 ¦ Receta Médica; • 9382 ¦ miligramo;; • 9437 ¦ oral ¦ 1;95 ¦ válido como MC prescribible;;;No;664441000167107 ¦ ticlopidina ¦ Vigente ; • 654181000167102 ¦ ticlopidina ¦ 1 ¦ 250.0 ¦ miligramo ¦ Vigente ;;Si; • 108971003 ¦ ticlopidina ¦ es un[a] ¦ 0;
671821000167105;Vigente;vortioxetina 10 mg comprimido;;;;Insensible;Autogenerado;No;No;;; • 9786 ¦ comprimido ¦ Discreta ¦ 1;89 ¦ Receta Médica; • 9382 ¦ miligramo;; • 9437 ¦ oral ¦ 1;95 ¦ válido como MC prescribible;;;No;658851000167108 ¦ vortioxetina ¦ Vigente ; • 647381000167108 ¦ vortioxetina ¦ 1 ¦ 10.0 ¦ miligramo ¦ Vigente ;;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
671831000167107;Vigente;risperidona 1 mg comprimido;;;;Insensible;Autogenerado;No;No;;; • 9786 ¦ comprimido ¦ Discreta ¦ 1;89 ¦ Receta Médica; • 9382 ¦ miligramo;; • 9437 ¦ oral ¦ 1;95 ¦ válido como MC prescribible;;;No;663531000167100 ¦ risperidona ¦ Vigente ; • 651871000167106 ¦ risperidona ¦ 1 ¦ 1.0 ¦ miligramo ¦ Vigente ;13586 ¦ risperidona ¦ N05AX08;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
671841000167104;Vigente;fitomenadiona 10 mg/mL inyectable;;;;Insensible;Manual;No;No;;; • 9764 ¦ inyectable ¦ Continua ¦ 1;89 ¦ Receta Médica; • 9384 ¦ mililitro;;" • 9425 ¦ intramuscular ¦ 2
 • 9432 ¦ intravenosa ¦ 1";95 ¦ válido como MC prescribible;1.0 ¦ mililitro;;No;668081000167100 ¦ fitomenadiona ¦ Vigente ; • 647821000167102 ¦ fitomenadiona ¦ 1 ¦ 10.0 ¦ miligramo ¦ 1.0 ¦ mililitro ¦ Vigente ;10787 ¦ fitomenadiona ¦ B02BA01;Si; • 377082004 ¦ fitomenadiona, 10 mg/ml, solución inyectable, ampolla de 1 ml ¦ es un[a] ¦ 0;
