ConceptID;Estado;Término Preferido;Términos Sinónimos;Término Abreviado;Observación;Sensibilidad;Creación Nombre;Revisado;Consultar;Etiquetas;Sabor;Laboratorio Comercial;ISP;Bioequivalente;ConceptID Fármacos - Medicamento Clínico ¦ Preferido Fármacos - Medicamento Clínico ¦ Estado;ConceptID Fármacos - Familia de Productos ¦ Preferido Fármacos - Familia de Productos ¦ Estado;Comercializado;FFE;ConceptID SNM ¦ Preferido SNM ¦ Tipo de Relación ¦ Grupo;CIE-10 ¦ Tipo de Relación
808251000167108;Vigente;cloruro de potasio 40 mEq/100 mL solución inyectable (Baxter);;;;Sensible;Manual;No;No;;;9468 ¦ Baxter Chile Ltda.; • 19648 ¦ F-17820/14 ¦ CLORURO DE POTASIO SOLUCIÓN INYECTABLE 40 mEq / 100 mL;;674281000167105 ¦ cloruro de potasio 2,98% (2,98 g/100 mL) inyectable ¦ Vigente ;788871000167102 ¦ cloruro de potasio ¦ Vigente ;Si; • 9971 ¦ solución inyectable; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
808261000167106;Vigente;zequivec comprimido recubierto (Medley);;;;Sensible;Manual;No;No;;;9643 ¦ Medley Industria Farmacéutica Ltda. Importado (Sanofi-Aventis); • 23901 ¦ F-20668/13 ¦ ZEQUIVEC COMPRIMIDOS RECUBIERTOS 20 mg;;678071000167109 ¦ paroxetina 20 mg comprimido ¦ Vigente ;768791000167107 ¦ zequivec ¦ Vigente ;Si; • 9926 ¦ comprimido recubierto; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
808271000167100;Vigente;duoval jarabe (Saval);;;;Sensible;Manual;No;No;;;9596 ¦ Laboratorio Saval S.A.;;;671751000167108 ¦ clorfenamina 2 mg/5 mL + pseudoefedrina sulfato 30 mg/5 mL solución oral ¦ Vigente ;768711000167104 ¦ duoval ¦ Vigente ;Si; • 9845 ¦ jarabe; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
808281000167103;Vigente;volunta 80 mg comprimido recubierto (Medley);;;;Sensible;Manual;No;No;;;9643 ¦ Medley Industria Farmacéutica Ltda. Importado (Sanofi-Aventis); • 23812 ¦ F-21121/14 ¦ VOLUNTA COMPRIMIDOS RECUBIERTOS 80 mg (ATORVASTATINA);;686541000167104 ¦ atorvastatina 80 mg comprimido ¦ Vigente ;768561000167107 ¦ volunta ¦ Vigente ;Si; • 9926 ¦ comprimido recubierto; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
808291000167101;Vigente;deucodol 400 mg cápsula blanda (Medipharm);;;;Sensible;Manual;No;No;;;9669 ¦ Productos Farmacéuticos Medipharm Ltda.; • 19978 ¦ F-18614/11 ¦ DEUCODOL CÁPSULAS BLANDAS 400 mg;;684201000167107 ¦ ibuprofeno 400 mg cápsula ¦ Vigente ;796311000167104 ¦ deucodol ¦ Vigente ;Si; • 9946 ¦ cápsula blanda; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
808301000167102;Vigente;volunta 40 mg comprimido recubierto (Medley);;;;Sensible;Manual;No;No;;;9643 ¦ Medley Industria Farmacéutica Ltda. Importado (Sanofi-Aventis); • 23811 ¦ F-21120/14 ¦ VOLUNTA COMPRIMIDOS RECUBIERTOS 40 mg (ATORVASTATINA);;678571000167100 ¦ atorvastatina 40 mg comprimido ¦ Vigente ;768561000167107 ¦ volunta ¦ Vigente ;Si; • 9926 ¦ comprimido recubierto; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
808311000167100;Vigente;bediatil suspensión oral (Pasteur);;;;Sensible;Manual;No;No;;;9618 ¦ Laboratorios Pasteur Ltda.;;;678131000167106 ¦ ibuprofeno 100 mg/5 mL suspensión oral ¦ Vigente ;780641000167105 ¦ bediatil ¦ Vigente ;Si; • 9953 ¦ suspensión oral; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
808321000167105;Vigente;volunta 20 mg comprimido recubierto (Medley);;;;Sensible;Manual;No;No;;;9643 ¦ Medley Industria Farmacéutica Ltda. Importado (Sanofi-Aventis); • 23810 ¦ F-21119/14 ¦ VOLUNTA COMPRIMIDOS RECUBIERTOS 20 mg (ATORVASTATINA);;694171000167107 ¦ atorvastatina 20 mg comprimido ¦ Vigente ;768561000167107 ¦ volunta ¦ Vigente ;Si; • 9926 ¦ comprimido recubierto; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
808331000167107;Vigente;celulase plus comprimido (Synthon);;;;Sensible;Manual;No;No;;;9687 ¦ Synthon Chile Ltda.; • 19445 ¦ N-40/16 ¦ CELULASE PLUS COMPRIMIDOS 60 mg;;696111000167106 ¦ centella asiática 60 mg comprimido ¦ Vigente ;768801000167106 ¦ celulase plus ¦ Vigente ;Si; • 9840 ¦ comprimido; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
808341000167104;Vigente;mexan 15 mg comprimido (Mintlab);;;;Sensible;Manual;No;No;;;9647 ¦ Mintlab Co. S.A.; • 21889 ¦ F-14255/14 ¦ MEXAN COMPRIMIDOS 15 mg;;672071000167107 ¦ meloxicam 15 mg comprimido ¦ Vigente ;768521000167100 ¦ mexan ¦ Vigente ;Si; • 9840 ¦ comprimido; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
